metric_id,entity_level,numerator,denominator,deduplication_key,included_rows,excluded_rows,open_event_policy,denominator_scope,expected_parameter_response,hard_gate_usage,null_or_zero_denominator_policy
confirmed_event_coverage,eligible_day,count distinct qualified confirmed keys,count distinct eligible keys,"route_id,security_id,trade_date",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open qualified intervals included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,fixed g: nonincreasing as d increases; fixed d: invariant across g,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
zone_span_coverage,eligible_day,count distinct qualified confirmed and legal bridge keys,count distinct eligible keys,"route_id,security_id,trade_date",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",observed open-zone members included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,fixed d: nondecreasing as g increases,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
upstream_confirmed_interval_count,confirmed_interval,count distinct upstream confirmed intervals,not_applicable,confirmed_interval_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open intervals included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
qualified_interval_count,confirmed_interval,count intervals with confirmed_day_count>=d,not_applicable,"confirmed_interval_id,d",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open intervals included when qualified,own_eligible; overlap metrics use common_W120_W250 within state_line and role,fixed g: nonincreasing as d increases; fixed d: invariant across g,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
unqualified_interval_count,confirmed_interval,count intervals with confirmed_day_count<d,not_applicable,"confirmed_interval_id,d",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open intervals classified observed-to-date,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
qualified_event_count,event_zone,count distinct event_id,not_applicable,event_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,fixed d: nonincreasing as g increases,direct hard-gate input,return null and null_reason; hard-gate inputs fail closed
qualified_confirmed_day_count,eligible_day,count distinct confirmed keys in qualified intervals,not_applicable,"route_id,security_id,trade_date,d",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open qualified intervals included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,fixed g: nonincreasing as d increases; fixed d: invariant across g,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
unique_securities_with_qualified_event,security,count distinct security_id with event,not_applicable,"route_id,security_id,d,g",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,direct hard-gate input,return null and null_reason; hard-gate inputs fail closed
upstream_singleton_interval_rate,confirmed_interval,count upstream intervals where confirmed_day_count=1,upstream_confirmed_interval_count,confirmed_interval_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open singleton included observed-to-date,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
short_interval_drop_rate,confirmed_interval,count upstream intervals where confirmed_day_count<d,upstream_confirmed_interval_count,"confirmed_interval_id,d",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open intervals classified observed-to-date,own_eligible; overlap metrics use common_W120_W250 within state_line and role,fixed g: nondecreasing as d increases; fixed d: invariant across g,direct hard-gate input,return null and null_reason; hard-gate inputs fail closed
