case_id,case_name,status,assertion_count,passed_assertion_count,fixture_sha256,assertion_ledger_sha256,assertion_ledger
S01,k3_no_backfill,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,a6ce322e428a7c1fc7e4d6ce62bdb9f22a17d0abcce07483a3e7670138ddbd8f,"[{""assertion_id"": ""third_day_only"", ""expected"": [false, false, true, true], ""observed"": [false, false, true, true], ""operator"": ""equals"", ""passed"": true}]"
S02,unknown_break,passed,1,1,d2a71125da849dc45efc19b584245524b1eabab3753927f1cf1263118bc10b1b,9d35a76a0c3b9f5890f45bbd271177737472baae4b3ffe010ae4ae7a9636def9,"[{""assertion_id"": ""break_resets_streak"", ""expected"": false, ""observed"": false, ""operator"": ""equals"", ""passed"": true}]"
S03,blocked_break,passed,1,1,918d8b043ffa8f89f07839e2540b1ece83919911e3acccdb1843f0e5fcc153b2,9d35a76a0c3b9f5890f45bbd271177737472baae4b3ffe010ae4ae7a9636def9,"[{""assertion_id"": ""break_resets_streak"", ""expected"": false, ""observed"": false, ""operator"": ""equals"", ""passed"": true}]"
S04,d_exact_lengths,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,7a8c882ab80afa23669615d6901f309fbf279541a4279181e8d06f7b2784e9f3,"[{""assertion_id"": ""qualification_counts"", ""expected"": [2, 1, 0], ""observed"": [2, 1, 0], ""operator"": ""equals"", ""passed"": true}]"
S05,d_greater_equal,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,7a8c882ab80afa23669615d6901f309fbf279541a4279181e8d06f7b2784e9f3,"[{""assertion_id"": ""qualification_counts"", ""expected"": [2, 1, 0], ""observed"": [2, 1, 0], ""operator"": ""equals"", ""passed"": true}]"
S06,raw_days_excluded,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,3bb664183b917474dd6f3203d0d13a35485f46d55056e8b5cf2ff40af7279762,"[{""assertion_id"": ""confirmed_duration_excludes_raw_prefix"", ""expected"": 2, ""observed"": 2, ""operator"": ""equals"", ""passed"": true}]"
S07,g0_no_bridge,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,aec1411d6a5fd3b555d122489a32206dda13766ad79aa76a7076de8015a7429a,"[{""assertion_id"": ""g0_no_bridge"", ""expected"": true, ""observed"": true, ""operator"": ""equals"", ""passed"": true}]"
S08,g1_bridge,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,9931c01ba56669b75ac066549507ecfe8d2ea76b475cd7664284febf44a37f23,"[{""assertion_id"": ""g1_bridge"", ""expected"": true, ""observed"": true, ""operator"": ""equals"", ""passed"": true}]"
S09,g2_bridge,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,bb41c77bfcbce0fc589a6e32dc90490ffbf3fc6885aebab825fb5d248181fc77,"[{""assertion_id"": ""g2_bridge"", ""expected"": true, ""observed"": true, ""operator"": ""equals"", ""passed"": true}]"
S10,gap_exceeds_g,passed,1,1,83635383223e58df58cd4e245a38a511f83a6e7e7a09893cfc50873e9cedf9a2,fd467d2f88ba52a760a3c75f3f963ef3c0b23d902e94130173ef13aae0985d3c,"[{""assertion_id"": ""gap_exceeds_g"", ""expected"": true, ""observed"": true, ""operator"": ""equals"", ""passed"": true}]"
S11,quality_hard_break,passed,3,3,079bcb903f82d8723127fdbfb58f5701c895aedd32904ffdea8ba0d3ef414cb2,34e96cbba48a1c3c0d6ef9868654cc9e16864b5811321fd20e666a9f9ea7c263,"[{""assertion_id"": ""hard_break_status"", ""expected"": ""closed"", ""observed"": ""closed"", ""operator"": ""equals"", ""passed"": true}, {""assertion_id"": ""hard_break_reason"", ""expected"": ""hard_break_observed"", ""observed"": ""hard_break_observed"", ""operator"": ""equals"", ""passed"": true}, {""assertion_id"": ""missing_row_error"", ""expected"": ""missing_expected_trading_row"", ""observed"": ""missing_expected_trading_row"", ""operator"": ""equals"", ""passed"": true}]"
S12,calendar_days_excluded,passed,1,1,23c48d3916627df3fe891acedeb2599f6a9b872191b815b2122db0c01a6569aa,0981efcf41064d1ab81057c20198f28b06fb93c0dd09777c81b2ec7d2248199d,"[{""assertion_id"": ""weekend_not_a_row"", ""expected"": true, ""observed"": true, ""operator"": ""equals"", ""passed"": true}]"
S13,unqualified_interval_blocks,passed,2,2,11a1cfb7294bcc52c638020d6d7165f9252fb711ae3a237f840044b9f8bdb4d7,e48106b6aff4694cd3504ce9359dedf14226e344c8d90ce41f8d427938a89dad,"[{""assertion_id"": ""two_outer_zones"", ""expected"": 2, ""observed"": 2, ""operator"": ""equals"", ""passed"": true}, {""assertion_id"": ""failed_middle_reason"", ""expected"": ""intervening_interval_failed_d"", ""observed"": ""intervening_interval_failed_d"", ""operator"": ""equals"", ""passed"": true}]"
S14,bridge_availability_delayed,passed,1,1,d994f7e3ed6ab265d49216c48245ac365b0bb124d8cda54ce5ea84dd577505d6,0a9ef94a088a1b75f5476fb41ebbbc6a0427b35d85d3c4cb12b083e1ee06474f,"[{""assertion_id"": ""bridge_not_backfilled"", ""expected"": true, ""observed"": true, ""operator"": ""equals"", ""passed"": true}]"
