case_id,fixture_id,status,oracle_id,assertion_count,expected_reason_code,observed_reason_code,error_code,assertion_ledger_sha256,transition_count,atomic_interval_count,qualified_component_count,event_zone_count
k3_no_backfill,fixture_001_k3_no_backfill,passed,r2_t02_oracle_k3_no_backfill,4,sample_end_open_zone,sample_end_open_zone,,43a958de110135d31d9ef4ab739e5a06f3d66f71ca03a634da4df4d1233c5020,12,3,3,3
unknown_resets_k,fixture_002_unknown_resets_k,passed,r2_t02_oracle_unknown_resets_k,4,prequalification_right_censored,prequalification_right_censored,,8e785eba30f89026f859c3572b91aa6211bc5acc7982323a768e82eb6b3a9f6d,12,3,1,1
blocked_resets_k,fixture_003_blocked_resets_k,passed,r2_t02_oracle_blocked_resets_k,4,prequalification_right_censored,prequalification_right_censored,,5eeeb3a6de040fc61947d36350ec813b69d7bd5170d0012d794479fee43e8d4b,9,3,0,0
diagnostic_required_resets_k,fixture_004_diagnostic_required_resets_k,passed,r2_t02_oracle_diagnostic_required_resets_k,4,sample_end_open_zone,sample_end_open_zone,,28072c1cf6bf4a782fc35c0287e7d2e73de2824d91e923842c895679c8d4a282,12,3,3,3
missing_row_fail_closed,fixture_005_missing_row_fail_closed,passed,r2_t02_oracle_missing_row_fail_closed,4,missing_expected_trading_row,missing_expected_trading_row,missing_expected_trading_row,88927113318f70ffcc8bcc97dc267ef4012059d94120e749d353776eca3c2820,1,0,0,0
d1_exact_qualification,fixture_006_d1_exact_qualification,passed,r2_t02_oracle_d1_exact_qualification,4,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,a6bb08bf87198620fa88cb46b2eda429f0c3be9fa61a331065e105acf7f70bb0,4,1,1,1
d2_exact_qualification,fixture_007_d2_exact_qualification,passed,r2_t02_oracle_d2_exact_qualification,4,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,be9daaaef96fc279c1c06132e5ce678061994620fe398e9ee2602b180ef6149d,4,1,1,1
d3_exact_qualification,fixture_008_d3_exact_qualification,passed,r2_t02_oracle_d3_exact_qualification,4,raw_false_gap_exceeds_g,raw_false_gap_exceeds_g,,ed3fc2cbf9b05710e08b406b51cb9602167ce3aba726acdff84b4e84f0f15b58,4,1,1,1
event_qualification_uses_actual_available_time,fixture_009_event_qualification_uses_actual_available_time,passed,r2_t02_oracle_event_qualification_uses_actual_available_time,4,normal_short_interval_drop,normal_short_interval_drop,,a05c7ff1911396bfa10438ccf720f49b429afc0b2d65b0365451d9d71510d2c8,3,1,0,0
prequalification_right_censor,fixture_010_prequalification_right_censor,passed,r2_t02_oracle_prequalification_right_censor,4,prequalification_right_censored,prequalification_right_censored,,b59f0b301ae474206fd75e09718da78ea4cb6dea421479722ef930e6d039d89b,3,1,0,0
normal_short_interval_drop,fixture_011_normal_short_interval_drop,passed,r2_t02_oracle_normal_short_interval_drop,4,normal_short_interval_drop,normal_short_interval_drop,,badd39ed1af245011c411f9ca3c0fcc46b94a8a35557df358d4cced0d7ea757a,3,1,0,0
