case_id,fixture_id,status,oracle_id,assertion_count,expected_reason_code,observed_reason_code,error_code,assertion_ledger_sha256,transition_count,atomic_interval_count,qualified_component_count,event_zone_count
k3_no_backfill,fixture_001_k3_no_backfill,passed,r2_t02_oracle_k3_no_backfill,4,sample_end_open_zone,sample_end_open_zone,,43a958de110135d31d9ef4ab739e5a06f3d66f71ca03a634da4df4d1233c5020,12,3,3,3
unknown_resets_k,fixture_002_unknown_resets_k,passed,r2_t02_oracle_unknown_resets_k,4,prequalification_right_censored,prequalification_right_censored,,745e616387ef471bfacbf7d26588ea7e3f423aa0c521113cf14b2c16663b7164,12,3,1,1
blocked_resets_k,fixture_003_blocked_resets_k,passed,r2_t02_oracle_blocked_resets_k,4,prequalification_right_censored,prequalification_right_censored,,dd92fbfc416f7b0a05f2fd1b6d9b75bdf1353c986662590106a306370ba030cb,9,3,0,0
diagnostic_required_resets_k,fixture_004_diagnostic_required_resets_k,passed,r2_t02_oracle_diagnostic_required_resets_k,4,sample_end_open_zone,sample_end_open_zone,,b32a1b7b3a1d106670f4d0e6af0df591bf5cbefe0469b3a70fc493e03c8a8344,12,3,3,3
missing_row_fail_closed,fixture_005_missing_row_fail_closed,passed,r2_t02_oracle_missing_row_fail_closed,4,missing_expected_trading_row,missing_expected_trading_row,missing_expected_trading_row,88927113318f70ffcc8bcc97dc267ef4012059d94120e749d353776eca3c2820,1,0,0,0
d1_exact_qualification,fixture_006_d1_exact_qualification,passed,r2_t02_oracle_d1_exact_qualification,4,gap_exceeds_g,gap_exceeds_g,,2b21bc2d700a05162b55942e2867fc2a465a1ea00c2ba4bebdc218e5a5cad41d,4,1,1,1
d2_exact_qualification,fixture_007_d2_exact_qualification,passed,r2_t02_oracle_d2_exact_qualification,4,gap_exceeds_g,gap_exceeds_g,,9ecd4efcf521085beab24d99d16f769cc108ca01b916f2157e89bbe874daa7f0,4,1,1,1
d3_exact_qualification,fixture_008_d3_exact_qualification,passed,r2_t02_oracle_d3_exact_qualification,4,gap_exceeds_g,gap_exceeds_g,,2bc9c89803a4b80314968b4169a7ffb710c4c51c942e6039c196f3607a11fb22,4,1,1,1
event_qualification_uses_actual_available_time,fixture_009_event_qualification_uses_actual_available_time,passed,r2_t02_oracle_event_qualification_uses_actual_available_time,4,normal_short_interval_drop,normal_short_interval_drop,,b2bfcbeb6fcb034d6f2ff400ea22ca7506064f7db1e1d04f8df6e40cd097f76c,3,1,0,0
prequalification_right_censor,fixture_010_prequalification_right_censor,passed,r2_t02_oracle_prequalification_right_censor,4,prequalification_right_censored,prequalification_right_censored,,030b24a53418b938f11739921c0fc0a84504057c489c3465a7779faead2feeaa,3,1,0,0
normal_short_interval_drop,fixture_011_normal_short_interval_drop,passed,r2_t02_oracle_normal_short_interval_drop,4,normal_short_interval_drop,normal_short_interval_drop,,0193cc213c7c17614e9338008a064aeb7fdced3a4f10cca4ceb5f8fcaf59c10a,3,1,0,0
g0_gap_exceeds_min_reentry_gap,fixture_012_g0_gap_exceeds_min_reentry_gap,passed,r2_t02_oracle_g0_gap_exceeds_min_reentry_gap,4,gap_exceeds_g,gap_exceeds_g,,f038250e3230a6627127822e4951ac28931518786b3c088f1ce70967c553c8f1,8,2,2,2
g1_gap_exceeds_min_reentry_gap,fixture_013_g1_gap_exceeds_min_reentry_gap,passed,r2_t02_oracle_g1_gap_exceeds_min_reentry_gap,4,quality_break,quality_break,,0c8515fb2c06e020cb39a718d615f99fb8efa66d89cd8fe35b7a58e42b056871,4,1,1,1
g2_gap_exceeds_min_reentry_gap,fixture_014_g2_gap_exceeds_min_reentry_gap,passed,r2_t02_oracle_g2_gap_exceeds_min_reentry_gap,4,gap_exceeds_g,gap_exceeds_g,,6902282c8f7521d2e6b73ebae947d2c07a092e522212af15dec38c24d75a8454,8,2,2,2
gap_exceeds_g,fixture_015_gap_exceeds_g,passed,r2_t02_oracle_gap_exceeds_g,4,gap_exceeds_g,gap_exceeds_g,,71507a5333dfb8c0637113c0ef15bedf7b9c98ce217d3e7021e564fff0ba0bf0,8,2,2,2
transitive_a_b_c_merge,fixture_016_transitive_a_b_c_merge,passed,r2_t02_oracle_transitive_a_b_c_merge,4,sample_end_open_zone,sample_end_open_zone,,83c3e2fd9c11b8a81789f7635acf80e15192da32d1881554296f77188a387223,12,3,3,3
multiple_bridge_segments,fixture_017_multiple_bridge_segments,passed,r2_t02_oracle_multiple_bridge_segments,4,sample_end_open_zone,sample_end_open_zone,,f0f2dbbf2b7cde7a0b2fc36d2ffa3dc425f7fe5711ee7684112388771c9b8950,12,3,3,3
intervening_unqualified_interval_blocks_merge,fixture_018_intervening_unqualified_interval_blocks_merge,passed,r2_t02_oracle_intervening_unqualified_interval_blocks_merge,4,normal_short_interval_drop,normal_short_interval_drop,,5550b7daa0352307200dd114345c54b310756016036a84f0aadb2a2aec4e402c,9,2,1,1
quality_break,fixture_019_quality_break,passed,r2_t02_oracle_quality_break,4,quality_break,quality_break,,9e6b0b32ac9682e495c47e36d3079dc1f96e9bd6cafab90cd1d4a24572d077d8,8,2,2,2
diagnostic_break,fixture_020_diagnostic_break,passed,r2_t02_oracle_diagnostic_break,4,quality_break,quality_break,,b8225a6f8d0567072833506a3b5f655f969c963a0ddf6325b097cb6fd2680425,8,2,2,2
missing_row_break,fixture_021_missing_row_break,passed,r2_t02_oracle_missing_row_break,4,missing_expected_trading_row,missing_expected_trading_row,missing_expected_trading_row,d51a8add36d4d844e045c68d2ec9fe5e1e6abf8033a1faebc24ce3b7b372b836,1,0,0,0
gap_pending,fixture_022_gap_pending,passed,r2_t02_oracle_gap_pending,4,sample_end_open_zone,sample_end_open_zone,,4f3d9da1f8844665d0b05da53eac4a62238cba679db081217a31acc763601aa3,8,2,2,2
reentry_reaches_d,fixture_023_reentry_reaches_d,passed,r2_t02_oracle_reentry_reaches_d,4,gap_exceeds_g,gap_exceeds_g,,bee3fc481ed2b5732d5daffc9ebced29cdbc81fdc250540472051f1fc1e89885,8,2,2,2
reentry_fails_d,fixture_024_reentry_fails_d,passed,r2_t02_oracle_reentry_fails_d,4,normal_short_interval_drop,normal_short_interval_drop,,2f18e5721a159063d523cc6057cbc21b42878825170e8d62c27f4a68e7750e38,9,2,1,1
right_censored_open_zone,fixture_025_right_censored_open_zone,passed,r2_t02_oracle_right_censored_open_zone,4,sample_end_open_zone,sample_end_open_zone,,b861cdf59a2295ea8d696e2cd82f048125af4d78831bb5eb9b0fff515679e7ff,4,1,1,1
irreversible_finalization,fixture_026_irreversible_finalization,passed,r2_t02_oracle_irreversible_finalization,4,normal_short_interval_drop,normal_short_interval_drop,,a49e8cf4b0be8a34c3276ffb7509d8356643b769d2f3afdb2ae1ae3e71550631,3,1,0,0
bridge_membership_delayed,fixture_027_bridge_membership_delayed,passed,r2_t02_oracle_bridge_membership_delayed,4,gap_exceeds_g,gap_exceeds_g,,7d5b6bcefe7b8bdd0b93f2c8e69328caf66433da46f8c9d6235f71fdc41c1902,8,2,2,2
event_id_stability,fixture_028_event_id_stability,passed,r2_t02_oracle_event_id_stability,4,gap_exceeds_g,gap_exceeds_g,,07d8290639c8d19613b69f2fd205c22079739c7081c248242abcc06211c6ca76,4,1,1,1
candidate_cell_isolation,fixture_029_candidate_cell_isolation,passed,r2_t02_oracle_candidate_cell_isolation,4,gap_exceeds_g,gap_exceeds_g,,fc9db3690a1af1b96397d513b1b89ad845cebf81df5faa941a46ff889d477451,4,1,1,1
security_isolation,fixture_030_security_isolation,passed,r2_t02_oracle_security_isolation,4,gap_exceeds_g,gap_exceeds_g,,023d3f14822da24c8dbb69ed2302fd5123e62e7e4ee939f4dea324efa9dae1fc,4,1,1,1
canonical_sorting,fixture_031_canonical_sorting,passed,r2_t02_oracle_canonical_sorting,4,sample_end_open_zone,sample_end_open_zone,,aea082a5bc4957131dd6c369e24248e4155488d921579b04dcecf29e99d47089,12,3,3,3
confirmed_only_risk_set,fixture_032_confirmed_only_risk_set,passed,r2_t02_oracle_confirmed_only_risk_set,5,gap_exceeds_g,gap_exceeds_g,,d484515e73849371f1db069b53ed9a1c4ef0080ddf7ce17223343788f3628cef,4,1,1,1
bridge_not_in_risk_set,fixture_033_bridge_not_in_risk_set,passed,r2_t02_oracle_bridge_not_in_risk_set,5,quality_break,quality_break,,5be5fc430a6fb97db12cec66f1413d801fc96c594ea3e0e439446a7347ed9724,4,1,1,1
zone_membership_not_in_risk_set,fixture_034_zone_membership_not_in_risk_set,passed,r2_t02_oracle_zone_membership_not_in_risk_set,4,gap_exceeds_g,gap_exceeds_g,,350b35561830c6b328d2558edcbcf8ca9647696a0a62b9d2c215a609d0660e72,8,2,2,2
invalid_quality_contradiction,fixture_035_invalid_quality_contradiction,passed,r2_t02_oracle_invalid_quality_contradiction,4,prequalification_right_censored,prequalification_right_censored,,1c94ee181d0a2932edccec80871535fc5666d078fc4c335aaacfc2fd50be33d7,12,3,1,1
own_denominator,fixture_036_own_denominator,passed,r2_t02_oracle_own_denominator,4,gap_exceeds_g,gap_exceeds_g,,bcb352b0a00354b6bb214ba6d5b5cb61bde93cfb85ee489c98ac337bd872d2da,4,1,1,1
common_exact_intersection,fixture_037_common_exact_intersection,passed,r2_t02_oracle_common_exact_intersection,4,gap_exceeds_g,gap_exceeds_g,,154e248760064fa2a53d90961bd774470a341cf29041eba40c94291d6339b3c0,4,1,1,1
cross_state_rejection,fixture_038_cross_state_rejection,passed,r2_t02_oracle_cross_state_rejection,4,cross_state_rejected,cross_state_rejected,,382ff3467a374cd89a484f7da084012e2965bf3c31bf1bed24d7f56d9513d3c6,12,3,1,1
cross_role_rejection,fixture_039_cross_role_rejection,passed,r2_t02_oracle_cross_role_rejection,4,cross_role_rejected,cross_role_rejected,,7a125fa7418ee6256e6ba3823a728afbb05ccabac6a4fa243b70986918301c98,6,2,0,0
